Context,Gloss,Label,Target Word
"The light from the window brightened the room.","Something that is not heavy or intense.","0","light"

"She booked a room at the hotel for the weekend.","To arrange for someone to have a place, seat, or service.","1","book"
"She booked a room at the hotel for the weekend.","A set of written or printed pages bound together and enclosed between covers.","0","book"
---
"He spent the afternoon reading a fascinating book.","A set of written or printed pages bound together and enclosed between covers.","1","book"
"He spent the afternoon reading a fascinating book.","To arrange for someone to have a place, seat, or service.","0","book"
---
"The match was postponed due to rain.","A sports event where two teams or individuals compete.","1","match"
"The match was postponed due to rain.","A small stick that produces a flame when struck.","0","match"
---
"He lit the candle with a match.","A small stick that produces a flame when struck.","1","match"
"He lit the candle with a match.","A sports event where two teams or individuals compete.","0","match"
---
"They charged him for the extra luggage.","To ask someone to pay an amount of money.","1","charge"
"They charged him for the extra luggage.","To rush forward in an attack.","0","charge"
---
"The soldiers began to charge at the enemy lines.","To rush forward in an attack.","1","charge"
"The soldiers began to charge at the enemy lines.","To ask someone to pay an amount of money.","0","charge"
---
"The seal clapped its flippers happily.","A sea animal with flippers that lives near cold oceans.","1","seal"
"The seal clapped its flippers happily.","A device or substance used to close or fasten something tightly.","0","seal"
---
"Make sure the envelope has a proper seal.","A device or substance used to close or fasten something tightly.","1","seal"
"Make sure the envelope has a proper seal.","A sea animal with flippers that lives near cold oceans.","0","seal"
---
"She nailed the presentation with confidence.","To do something successfully or perfectly.","1","nail"
"She nailed the presentation with confidence.","A thin, hard, pointed metal pin used in construction or carpentry.","0","nail"
---
"He hit the nail with a hammer to fix the board.","A thin, hard, pointed metal pin used in construction or carpentry.","1","nail"
"He hit the nail with a hammer to fix the board.","To do something successfully or perfectly.","0","nail"

"The watch he wore was a gift from his grandfather.","A small timepiece worn typically on the wrist.","1","watch"
"The watch he wore was a gift from his grandfather.","To observe attentively over a period of time.","0","watch"
---
"We stayed up late to watch the meteor shower.","To observe attentively over a period of time.","1","watch"
"We stayed up late to watch the meteor shower.","A small timepiece worn typically on the wrist.","0","watch"
---
"The bark of the dog startled the baby.","The sharp sound made by a dog.","1","bark"
"The bark of the dog startled the baby.","The outer covering of the trunk of a tree.","0","bark"
---
"The tree's bark was rough and full of moss.","The outer covering of the trunk of a tree.","1","bark"
"The tree's bark was rough and full of moss.","The sharp sound made by a dog.","0","bark"
---
"He dropped the anchor to keep the boat steady.","A heavy object used to moor a vessel to the sea bottom.","1","anchor"
"He dropped the anchor to keep the boat steady.","A person who presents and coordinates a live television or radio program.","0","anchor"
---
"The news anchor remained calm during the breaking story.","A person who presents and coordinates a live television or radio program.","1","anchor"
"The news anchor remained calm during the breaking story.","A heavy object used to moor a vessel to the sea bottom.","0","anchor"
---
"The leaves began to fall as autumn arrived.","To drop downward freely due to gravity.","1","fall"
"The leaves began to fall as autumn arrived.","The season of the year between summer and winter.","0","fall"
---
"We went hiking during the crisp fall weather.","The season of the year between summer and winter.","1","fall"
"We went hiking during the crisp fall weather.","To drop downward freely due to gravity.","0","fall"
---
"He tied the knot tightly to secure the sail.","An interlacing of rope or string used to fasten things together.","1","knot"
"He tied the knot tightly to secure the sail.","A hard lump or swelling in wood, tissue, or thread.","0","knot"
---
"She had a knot in her shoulder after working all day.","A hard lump or swelling in wood, tissue, or thread.","1","knot"
"She had a knot in her shoulder after working all day.","An interlacing of rope or string used to fasten things together.","0","knot"

"She left a note on the fridge to remind him.","A short written message or reminder.","1","note"
"She left a note on the fridge to remind him.","A musical sound with a particular pitch and duration.","0","note"
---
"He played the final note of the song perfectly.","A musical sound with a particular pitch and duration.","1","note"
"He played the final note of the song perfectly.","A short written message or reminder.","0","note"
---
"He caught a cold after walking in the rain.","A common viral infection causing coughing, sneezing, and a sore throat.","1","cold"
"He caught a cold after walking in the rain.","Having a low temperature or lacking warmth.","0","cold"
---
"The drink was ice cold and refreshing.","Having a low temperature or lacking warmth.","1","cold"
"The drink was ice cold and refreshing.","A common viral infection causing coughing, sneezing, and a sore throat.","0","cold"
---
"She got a ticket for parking illegally.","A written notice issued for a violation, usually requiring a fine.","1","ticket"
"She got a ticket for parking illegally.","A piece of paper or digital pass allowing entry or travel.","0","ticket"
---
"He bought a movie ticket online.","A piece of paper or digital pass allowing entry or travel.","1","ticket"
"He bought a movie ticket online.","A written notice issued for a violation, usually requiring a fine.","0","ticket"
---
"The ring was made of pure gold.","A small circular band, often worn on a finger.","1","ring"
"The ring was made of pure gold.","The sound a bell makes.","0","ring"
---
"I heard the ring of the doorbell and got up.","The sound a bell makes.","1","ring"
"I heard the ring of the doorbell and got up.","A small circular band, often worn on a finger.","0","ring"
---
"He made a pitch to the investors this morning.","A presentation or proposal to persuade someone.","1","pitch"
"He made a pitch to the investors this morning.","The degree of highness or lowness of a musical note.","0","pitch"
---
"She hit the high pitch perfectly in the chorus.","The degree of highness or lowness of a musical note.","1","pitch"
"She hit the high pitch perfectly in the chorus.","A presentation or proposal to persuade someone.","0","pitch"

"The bass in that song is incredibly deep.","The low-frequency tones in music.","1","bass"
"The bass in that song is incredibly deep.","A type of freshwater fish.","0","bass"
---
"He caught a large bass near the lake this morning.","A type of freshwater fish.","1","bass"
"He caught a large bass near the lake this morning.","The low-frequency tones in music.","0","bass"
---
"The pupil of the eye adjusts to light.","The central opening in the eye that controls light entry.","1","pupil"
"The pupil of the eye adjusts to light.","A student who is taught by a teacher.","0","pupil"
---
"The teacher praised the pupil for her hard work.","A student who is taught by a teacher.","1","pupil"
"The teacher praised the pupil for her hard work.","The central opening in the eye that controls light entry.","0","pupil"
---
"The bark of the tree was thick and rough.","The outer protective layer of a tree.","1","bark"
"The bark of the tree was thick and rough.","A loud sound made by a dog.","0","bark"
---
"The dog’s bark echoed through the neighborhood.","A loud sound made by a dog.","1","bark"
"The dog’s bark echoed through the neighborhood.","The outer protective layer of a tree.","0","bark"
---
"He had to file the documents before the deadline.","To place or organize papers in a specific order.","1","file"
"He had to file the documents before the deadline.","A tool with a rough surface used for smoothing or shaping.","0","file"
---
"She used a file to shape her nails.","A tool with a rough surface used for smoothing or shaping.","1","file"
"She used a file to shape her nails.","To place or organize papers in a specific order.","0","file"
---
"The nail on the wall held the picture frame.","A thin, pointed metal pin used to fasten objects.","1","nail"
"The nail on the wall held the picture frame.","To perform something successfully or perfectly.","0","nail"
---
"She really nailed her speech at the conference.","To perform something successfully or perfectly.","1","nail"
"She really nailed her speech at the conference.","A thin, pointed metal pin used to fasten objects.","0","nail"
---
"The current in the river was too strong to swim against.","A flow of water in a particular direction.","1","current"
"The current in the river was too strong to swim against.","Happening or existing now; present time.","0","current"
---
"I like to stay informed about current events.","Happening or existing now; present time.","1","current"
"I like to stay informed about current events.","A flow of water in a particular direction.","0","current"

"The speaker had a strong accent when he spoke English.","A distinctive way of pronouncing a language, often associated with a country or region.","1","accent"
"The speaker had a strong accent when he spoke English.","A decorative detail or emphasis added for effect.","0","accent"
---
"The living room had a red accent wall.","A decorative detail or emphasis added for effect.","1","accent"
"The living room had a red accent wall.","A distinctive way of pronouncing a language, often associated with a country or region.","0","accent"
---
"He drew a bow and aimed at the target.","A curved weapon for shooting arrows.","1","bow"
"He drew a bow and aimed at the target.","To bend forward at the waist, usually to show respect.","0","bow"
---
"She gave a small bow before leaving the stage.","To bend forward at the waist, usually to show respect.","1","bow"
"She gave a small bow before leaving the stage.","A curved weapon for shooting arrows.","0","bow"
---
"The tire had a large hole and needed to be patched.","A round rubber covering that fits around a wheel.","1","tire"
"The tire had a large hole and needed to be patched.","To grow weary or exhausted.","0","tire"
---
"I tire quickly when I don't get enough sleep.","To grow weary or exhausted.","1","tire"
"I tire quickly when I don't get enough sleep.","A round rubber covering that fits around a wheel.","0","tire"
---
"He set the mold in the fridge to harden overnight.","A hollow container used to give shape to a substance.","1","mold"
"He set the mold in the fridge to harden overnight.","A fungus that grows in moist, warm conditions.","0","mold"
---
"There was mold growing on the bread left out too long.","A fungus that grows in moist, warm conditions.","1","mold"
"There was mold growing on the bread left out too long.","A hollow container used to give shape to a substance.","0","mold"
---
"The wave knocked him off his surfboard.","A moving ridge on the surface of a body of water.","1","wave"
"The wave knocked him off his surfboard.","To move one’s hand back and forth as a greeting or signal.","0","wave"
---
"She gave a quick wave before getting in the car.","To move one’s hand back and forth as a greeting or signal.","1","wave"
"She gave a quick wave before getting in the car.","A moving ridge on the surface of a body of water.","0","wave"
---
"He jammed the copier by feeding the paper incorrectly.","To block or become stuck in a machine.","1","jam"
"He jammed the copier by feeding the paper incorrectly.","A sweet spread made from fruit and sugar.","0","jam"
---
"I had toast with strawberry jam for breakfast.","A sweet spread made from fruit and sugar.","1","jam"
"I had toast with strawberry jam for breakfast.","To block or become stuck in a machine.","0","jam"

"The crane had to duck as the beam swung overhead.","To lower the head or body quickly to avoid something.","1","duck"
"The crane had to duck as the beam swung overhead.","A waterbird with a broad blunt bill, short legs, and webbed feet.","0","duck"
---
"The duck waddled into the pond with her ducklings.","A waterbird with a broad blunt bill, short legs, and webbed feet.","1","duck"
"The duck waddled into the pond with her ducklings.","To lower the head or body quickly to avoid something.","0","duck"
---
"The club met every Wednesday to discuss new books.","A group of people organized for a common purpose or activity.","1","club"
"The club met every Wednesday to discuss new books.","A heavy stick used as a weapon.","0","club"
---
"He defended himself with a wooden club.","A heavy stick used as a weapon.","1","club"
"He defended himself with a wooden club.","A group of people organized for a common purpose or activity.","0","club"
---
"The tire left a long mark on the gravel road.","A visible impression or trace left behind on a surface.","1","mark"
"The tire left a long mark on the gravel road.","A grade given to a student's work.","0","mark"
---
"She was happy to receive the highest mark in class.","A grade given to a student's work.","1","mark"
"She was happy to receive the highest mark in class.","A visible impression or trace left behind on a surface.","0","mark"
---
"The spring flowers bloomed early this year.","The season between winter and summer.","1","spring"
"The spring flowers bloomed early this year.","A coil that returns to its original shape after being compressed.","0","spring"
---
"The old sofa had a broken spring inside it.","A coil that returns to its original shape after being compressed.","1","spring"
"The old sofa had a broken spring inside it.","The season between winter and summer.","0","spring"
---
"The fan was spinning at full speed in the heat.","A device that circulates air in a room.","1","fan"
"The fan was spinning at full speed in the heat.","An enthusiastic admirer or supporter of a public figure or activity.","0","fan"
---
"She's been a huge fan of that singer since childhood.","An enthusiastic admirer or supporter of a public figure or activity.","1","fan"
"She's been a huge fan of that singer since childhood.","A device that circulates air in a room.","0","fan"
---
"The pen stopped working during the exam.","An instrument for writing or drawing with ink.","1","pen"
"The pen stopped working during the exam.","An enclosed area for keeping animals.","0","pen"
---
"The sheep were herded into the pen for the night.","An enclosed area for keeping animals.","1","pen"
"The sheep were herded into the pen for the night.","An instrument for writing or drawing with ink.","0","pen"

"The leaves began to bark as the wind picked up.","The sound made by a dog.","0","bark"
"The leaves began to bark as the wind picked up.","The outer covering of a tree trunk.","1","bark"
---
"The soldier carried a heavy lead during the march.","A type of metal.","1","lead"
"The soldier carried a heavy lead during the march.","To guide or direct.","0","lead"
---
"She will lead the team to victory.","To guide or direct.","1","lead"
"She will lead the team to victory.","A type of metal.","0","lead"
---
"The dove flew gracefully across the sky.","A type of bird symbolizing peace.","1","dove"
"The dove flew gracefully across the sky.","Past tense of dive.","0","dove"
---
"He dove into the pool with great enthusiasm.","Past tense of dive.","1","dove"
"He dove into the pool with great enthusiasm.","A type of bird symbolizing peace.","0","dove"
---
"He will contract the company for construction.","To enter into a formal agreement.","1","contract"
"He will contract the company for construction.","To become smaller or shrink.","0","contract"
---
"Muscles contract when they are exercised.","To become smaller or shrink.","1","contract"
"Muscles contract when they are exercised.","To enter into a formal agreement.","0","contract"
---
"The match was decided by a sudden goal.","A sports competition.","1","match"
"The match was decided by a sudden goal.","A small stick that produces a flame.","0","match"
---
"He struck a match to light the candle.","A small stick that produces a flame.","1","match"
"He struck a match to light the candle.","A sports competition.","0","match"
---
"The lead actor received a standing ovation.","Main or principal actor in a play or film.","1","lead"
"The lead actor received a standing ovation.","A type of metal.","0","lead"
---
"The band played a live concert downtown.","Performed in front of an audience.","1","live"
"The band played a live concert downtown.","To be alive.","0","live"
---
"I prefer to live near the ocean.","To be alive.","1","live"
"I prefer to live near the ocean.","Performed in front of an audience.","0","live"

"He decided to park the car near the entrance.","To leave a vehicle in a designated area.","1","park"
"He decided to park the car near the entrance.","A large public green space for recreation.","0","park"
---
"The kids played soccer in the park all afternoon.","A large public green space for recreation.","1","park"
"The kids played soccer in the park all afternoon.","To leave a vehicle in a designated area.","0","park"
---
"The letter was sent by mail yesterday.","Letters and parcels sent by the postal service.","1","mail"
"The letter was sent by mail yesterday.","A system of metal armor covering the body.","0","mail"
---
"He wore a suit of mail during the medieval reenactment.","A system of metal armor covering the body.","1","mail"
"He wore a suit of mail during the medieval reenactment.","Letters and parcels sent by the postal service.","0","mail"
---
"She ran a tight ship to keep the business organized.","An organized and efficient operation.","1","ship"
"She ran a tight ship to keep the business organized.","A large vessel for traveling on water.","0","ship"
---
"The cargo was loaded onto the ship at the dock.","A large vessel for traveling on water.","1","ship"
"The cargo was loaded onto the ship at the dock.","An organized and efficient operation.","0","ship"
---
"He had a sharp eye for details in the contract.","Keen or acute in perception or insight.","1","sharp"
"He had a sharp eye for details in the contract.","Having a pointed edge or tip.","0","sharp"
---
"The knife has a very sharp blade.","Having a pointed edge or tip.","1","sharp"
"The knife has a very sharp blade.","Keen or acute in perception or insight.","0","sharp"
---
"The crane lifted the heavy load with ease.","A large machine used for lifting heavy objects.","1","crane"
"The crane lifted the heavy load with ease.","A tall wading bird with long legs and neck.","0","crane"
---
"The crane was spotted near the wetland early morning.","A tall wading bird with long legs and neck.","1","crane"
"The crane was spotted near the wetland early morning.","A large machine used for lifting heavy objects.","0","crane"
---
"He used a scale to weigh the ingredients for baking.","An instrument for measuring weight.","1","scale"
"He used a scale to weigh the ingredients for baking.","A series of musical notes ordered by pitch.","0","scale"
---
"She practiced singing the major scale every day.","A series of musical notes ordered by pitch.","1","scale"
"She practiced singing the major scale every day.","An instrument for measuring weight.","0","scale"


"The novel was quite a page-turner from start to finish.","A single side of a sheet of paper in a book.","1","page"
"The novel was quite a page-turner from start to finish.","To turn pages quickly or eagerly.","0","page"
---
"The assistant was hired to page the manager immediately.","To call someone over a public address system.","1","page"
"The assistant was hired to page the manager immediately.","A single side of a sheet of paper in a book.","0","page"
---
"The musician hit the right note perfectly.","A single sound with a specific pitch and duration.","1","note"
"The musician hit the right note perfectly.","A brief written message.","0","note"
---
"She left a note on the fridge to remind him.","A brief written message.","1","note"
"She left a note on the fridge to remind him.","A single sound with a specific pitch and duration.","0","note"
---
"The bow of the ship cut through the waves smoothly.","The front part of a ship or boat.","1","bow"
"The bow of the ship cut through the waves smoothly.","To bend forward at the waist as a gesture of respect.","0","bow"
---
"The performer took a bow after the standing ovation.","To bend forward at the waist as a gesture of respect.","1","bow"
"The performer took a bow after the standing ovation.","The front part of a ship or boat.","0","bow"
---
"He filed the papers alphabetically.","To arrange documents in order.","1","file"
"He filed the papers alphabetically.","A tool with a rough surface used for smoothing or shaping.","0","file"
---
"She used a file to smooth the edges of the metal.","A tool with a rough surface used for smoothing or shaping.","1","file"
"She used a file to smooth the edges of the metal.","To arrange documents in order.","0","file"
---
"The party was held at the bank of the river.","The side or edge of a river or stream.","1","bank"
"The party was held at the bank of the river.","A financial institution.","0","bank"
---
"He deposited money at the bank yesterday.","A financial institution.","1","bank"
"He deposited money at the bank yesterday.","The side or edge of a river or stream.","0","bank"
---
"The bat flew silently through the night sky.","A nocturnal flying mammal.","1","bat"
"The bat flew silently through the night sky.","A club used in sports such as baseball.","0","bat"
---
"He swung the bat and hit a home run.","A club used in sports such as baseball.","1","bat"
"He swung the bat and hit a home run.","A nocturnal flying mammal.","0","bat"

"The judge ruled in favor of the plaintiff.","A person who brings a case against another in court.","1","plaintiff"
"The judge ruled in favor of the plaintiff.","Feeling or expressing sorrow or complaint.","0","plaintiff"
---
"Her plaintive cry echoed through the night.","Feeling or expressing sorrow or complaint.","1","plaintiff"
"Her plaintive cry echoed through the night.","A person who brings a case against another in court.","0","plaintiff"
---
"He wrote a contract for the sale of the house.","A legally binding agreement between parties.","1","contract"
"He wrote a contract for the sale of the house.","To shrink or become smaller.","0","contract"
---
"Muscles contract during physical activity.","To shrink or become smaller.","1","contract"
"Muscles contract during physical activity.","A legally binding agreement between parties.","0","contract"
---
"The wind will blow the leaves across the yard.","To move air from one place to another.","1","blow"
"The wind will blow the leaves across the yard.","To swell or burst.","0","blow"
---
"The boxer delivered a powerful blow to his opponent.","A sudden forceful hit.","1","blow"
"The boxer delivered a powerful blow to his opponent.","To move air from one place to another.","0","blow"
---
"He watched the bat fly out of the cave at dusk.","A nocturnal flying mammal.","1","bat"
"He watched the bat fly out of the cave at dusk.","A sports equipment used for hitting a ball.","0","bat"
---
"He bought a new bat for the baseball game.","A sports equipment used for hitting a ball.","1","bat"
"He bought a new bat for the baseball game.","A nocturnal flying mammal.","0","bat"
---
"The seal clapped its fins at the zoo.","A marine mammal that lives in water.","1","seal"
"The seal clapped its fins at the zoo.","To close something tightly.","0","seal"
---
"Please seal the envelope before mailing it.","To close something tightly.","1","seal"
"Please seal the envelope before mailing it.","A marine mammal that lives in water.","0","seal"
---
"The wind was strong enough to shake the tree.","To move something violently back and forth.","1","shake"
"The wind was strong enough to shake the tree.","A type of cocktail made by mixing ingredients.","0","shake"
---
"She ordered a chocolate shake for dessert.","A type of cocktail or drink made by mixing ingredients.","1","shake"
"She ordered a chocolate shake for dessert.","To move something violently back and forth.","0","shake"

"The rock band played to a sold-out crowd.","A group of musicians who play rock music.","1","rock"
"The rock band played to a sold-out crowd.","A large piece of stone.","0","rock"
---
"He placed a rock on the stack of papers to keep them from blowing away.","A large piece of stone.","1","rock"
"He placed a rock on the stack of papers to keep them from blowing away.","A group of musicians who play rock music.","0","rock"
---
"The well was deep and filled with clear water.","A hole drilled to access water underground.","1","well"
"The well was deep and filled with clear water.","In good health or condition.","0","well"
---
"She felt well enough to return to work.","In good health or condition.","1","well"
"She felt well enough to return to work.","A hole drilled to access water underground.","0","well"
---
"The date on the bottle indicated it was expired.","A specific day on a calendar.","1","date"
"The date on the bottle indicated it was expired.","A romantic or social meeting with someone.","0","date"
---
"He took her out on a date to a fancy restaurant.","A romantic or social meeting with someone.","1","date"
"He took her out on a date to a fancy restaurant.","A specific day on a calendar.","0","date"
---
"The runner set a new track record.","A recorded best performance in a sport or competition.","1","record"
"The runner set a new track record.","To store audio or video for playback.","0","record"
---
"I will record the lecture to review it later.","To store audio or video for playback.","1","record"
"I will record the lecture to review it later.","A recorded best performance in a sport or competition.","0","record"
---
"She played the bass in the school orchestra.","A low-pitched stringed instrument.","1","bass"
"She played the bass in the school orchestra.","A type of freshwater fish.","0","bass"
---
"He caught a big bass while fishing in the lake.","A type of freshwater fish.","1","bass"
"He caught a big bass while fishing in the lake.","A low-pitched stringed instrument.","0","bass"
---
"The pen stopped working after a few pages.","A tool used for writing.","1","pen"
"The pen stopped working after a few pages.","An enclosure for animals.","0","pen"
---
"The farmer kept the pigs in a wooden pen.","An enclosure for animals.","1","pen"
"The farmer kept the pigs in a wooden pen.","A tool used for writing.","0","pen"
---
"He had to change the tire after the blowout.","A rubber covering of a wheel.","1","tire"
"He had to change the tire after the blowout.","To become physically exhausted.","0","tire"
---
"I tire quickly when I skip breakfast.","To become physically exhausted.","1","tire"
"I tire quickly when I skip breakfast.","A rubber covering of a wheel.","0","tire"
---
"The band is going to record a new album this year.","To capture audio or data for later playback.","1","record"
"The band is going to record a new album this year.","A physical disc that stores music.","0","record"
---
"I found an old jazz record in my grandfather's collection.","A physical disc that stores music.","1","record"
"I found an old jazz record in my grandfather's collection.","To capture audio or data for later playback.","0","record"
---
"The wave knocked over the small boat.","A ridge of water moving across the sea surface.","1","wave"
"The wave knocked over the small boat.","A gesture involving moving one's hand side to side.","0","wave"
---
"She gave a cheerful wave as the train left.","A gesture involving moving one's hand side to side.","1","wave"
"She gave a cheerful wave as the train left.","A ridge of water moving across the sea surface.","0","wave"
---
"The bark of the tree was thick and peeling.","The outer layer of a tree trunk.","1","bark"
"The bark of the tree was thick and peeling.","The sound made by a dog.","0","bark"
---
"The dog’s bark startled the baby.","The sound made by a dog.","1","bark"
"The dog’s bark startled the baby.","The outer layer of a tree trunk.","0","bark"

"He tied a tight knot in the rope.","An interlacing of rope or string secured together.","1","knot"
"He tied a tight knot in the rope.","A unit of speed used in aviation and maritime travel.","0","knot"
---
"The plane was flying at 500 knots.","A unit of speed used in aviation and maritime travel.","1","knot"
"The plane was flying at 500 knots.","An interlacing of rope or string secured together.","0","knot"
---
"She had to break the bank to afford that car.","To spend all or a large amount of money.","1","bank"
"She had to break the bank to afford that car.","A financial institution that holds and manages money.","0","bank"
---
"He deposited his paycheck at the bank.","A financial institution that holds and manages money.","1","bank"
"He deposited his paycheck at the bank.","To spend all or a large amount of money.","0","bank"
---
"The star shone brightly in the night sky.","A luminous celestial body visible in the sky.","1","star"
"The star shone brightly in the night sky.","A famous or celebrated person in a field.","0","star"
---
"The actor is a rising star in Hollywood.","A famous or celebrated person in a field.","1","star"
"The actor is a rising star in Hollywood.","A luminous celestial body visible in the sky.","0","star"
---
"She has a strong sense of pride in her work.","A feeling of deep satisfaction and honor.","1","pride"
"She has a strong sense of pride in her work.","A group of lions living together.","0","pride"
---
"A pride of lions roamed across the savannah.","A group of lions living together.","1","pride"
"A pride of lions roamed across the savannah.","A feeling of deep satisfaction and honor.","0","pride"
---
"The mole dug several tunnels in the yard.","A small burrowing mammal with poor eyesight.","1","mole"
"The mole dug several tunnels in the yard.","A person who secretly gathers and shares information.","0","mole"
---
"They discovered a mole leaking secrets to the enemy.","A person who secretly gathers and shares information.","1","mole"
"They discovered a mole leaking secrets to the enemy.","A small burrowing mammal with poor eyesight.","0","mole"
---
"The court will try the defendant next week.","A place where legal matters are heard and judged.","1","court"
"The court will try the defendant next week.","An area marked for playing sports like tennis or basketball.","0","court"
---
"We met on the tennis court every Saturday.","An area marked for playing sports like tennis or basketball.","1","court"
"We met on the tennis court every Saturday.","A place where legal matters are heard and judged.","0","court"
---
"She used a ruler to draw a straight line.","A tool used to measure length or draw straight edges.","1","ruler"
"She used a ruler to draw a straight line.","A person who governs or leads a country or region.","0","ruler"
---
"The king was the absolute ruler of the kingdom.","A person who governs or leads a country or region.","1","ruler"
"The king was the absolute ruler of the kingdom.","A tool used to measure length or draw straight edges.","0","ruler"
---
"He charged his phone before leaving.","To supply electrical energy to a device.","1","charge"
"He charged his phone before leaving.","To demand money for a product or service.","0","charge"
---
"The hotel will charge you for late checkout.","To demand money for a product or service.","1","charge"
"The hotel will charge you for late checkout.","To supply electrical energy to a device.","0","charge"
---
"He has a sharp eye for fashion.","Keen perception or awareness.","1","sharp"
"He has a sharp eye for fashion.","Having a fine or pointed edge or tip.","0","sharp"
---
"Be careful, that knife is very sharp.","Having a fine or pointed edge or tip.","1","sharp"
"Be careful, that knife is very sharp.","Keen perception or awareness.","0","sharp"

"He couldn't bear the pain any longer.","To tolerate or endure something difficult.","1","bear"
"He couldn't bear the pain any longer.","A large, heavy mammal with thick fur.","0","bear"
---
"The bear wandered into the campsite looking for food.","A large, heavy mammal with thick fur.","1","bear"
"The bear wandered into the campsite looking for food.","To tolerate or endure something difficult.","0","bear"
---
"The patient showed signs of strain after surgery.","Physical or emotional stress or pressure.","1","strain"
"The patient showed signs of strain after surgery.","A type or variety within a species, such as bacteria or plants.","0","strain"
---
"This strain of wheat is resistant to drought.","A type or variety within a species, such as bacteria or plants.","1","strain"
"This strain of wheat is resistant to drought.","Physical or emotional stress or pressure.","0","strain"
---
"He had to duck when the ball flew toward him.","To lower the head or body quickly.","1","duck"
"He had to duck when the ball flew toward him.","A water bird with webbed feet.","0","duck"
---
"The duck swam gracefully across the pond.","A water bird with webbed feet.","1","duck"
"The duck swam gracefully across the pond.","To lower the head or body quickly.","0","duck"
---
"The drill lasted for three hours straight.","A training exercise or practice session.","1","drill"
"The drill lasted for three hours straight.","A tool used to make holes in materials.","0","drill"
---
"I used a power drill to hang the shelf.","A tool used to make holes in materials.","1","drill"
"I used a power drill to hang the shelf.","A training exercise or practice session.","0","drill"
---
"The case was dismissed by the judge.","A legal matter being examined in court.","1","case"
"The case was dismissed by the judge.","A container for storing or transporting items.","0","case"
---
"She put her glasses back in their case.","A container for storing or transporting items.","1","case"
"She put her glasses back in their case.","A legal matter being examined in court.","0","case"
---
"He plays bass in a jazz trio.","A low-pitched musical instrument.","1","bass"
